name,description,price
"Шакшука","","2800"
"Скандинавский завтрак","Омлет с малосольным лососем, панкейками, миксом салатов, сливочным сыром и соусом гуакамоле","3200"
"Английский завтрак","Глазунья с баварскими колбасками, маринованными шампиньонами, фасолью в томатном соусе и тостерным хлебом","3000"
"Завтрак Неаполе","Брускеты с плавленной моцареллой, соусом песто и черри конфи, с хрустящим говяжьим беконом, миксом салатов и яйцом пашот","4100"
"Круассан с гуакамоле и лососем","С сегментами апельсина и яйцом пашот","4200"
"Блинчики с курицей и грибами","Заправленные сливочным соусом с сыром чеддер","2300"
"Блинчики с творогом","","1500"
"Воздушные сырники с ванильным соусом","","3200"
"Каша рисовая","С курагой","1600/1800/2400"
"Каша овсяная","С ягодным соусом","1600/1800/2400"
"Каша пшенная с тыквой","Готовится на выбор: на воде, животном или растительном молоке","1600/1800/2400"
"Масло сливочное","","300"
"Мёд","","300"
"Микс цукатов и сухофруктов","","500"
"Авокадо","","1300"
"Индейка холодного копчения","","600"
"Сосиски (2 шт)","","800"
"Лосось домашнего посола","","1600"
"Джем","","400"
"Тостерный хлеб","","250"
"Сыр чеддер (ломтик)","","450"
