name,description,price
"Пиво разливное","", 
"Hoegaarden","",2550
"Stella Artois","",2550

"К пиву","", 
"Арахис","",1850
"Фисташки","",1950

"Пиво бутылочное","", 
"Corona Extra","",2950
"Guinness","",3150
"Tsingtao","",2350
"BUD","",2250
"Paulaner Munchner Hell","",2550
"Paulaner Weissbier","",2550

"Милкшейки","", 
"Орео","",2450
"Сникерс","",2450
"Маршмеллоу","",2450

"Чай (900ml)","", 
"Зеленый чай","",1750
"Молочный улун","",1750
"Jasmine","",1750
"Sencha","",1750
"Non-alcoholic","",1700

"Лимонады","", 
"Морс с мородиновый (250 ml)","",750
"Малиновый закат (330 ml)","",1100
"Цитрусовая цитадель (330 ml)","",1100
"Киви – Лайм (330 ml)","",1100
"Тропический (330 ml)","",1100

"Авторский чай","", 
"Тархун-Яблоко (330 ml)","",1100
"Марокканский","",2450
"Облепиховый с апельсином","",2450
"Жасминовый с алоэ","",2450

"Напитки","", 
"Грушевый штрудель","",2450
"Sartay (500 ml)","",850
"Sartay (1000 ml)","",1250
"Tassay (500 ml)","",1250
"Tassay Premium (750 ml)","",2450
"Ягодный","",2450
"Яблочный","",2450
"Coca-Cola/Sprite (250 ml)","",850
"Чай с тархуном и молоком","",2450
"Red Bull (250 ml)","",1850

"Кофе","", 
"Schweppes","",1550
"Эспрессо","",900
"Американо","",1000
"Флэт Уайт","",1200
"Капучино","",1300
"Латте","",1450
"Whipped Dalgona","",1850
"Морковный сок (свежевыжатый, 250ml)","",1550
"Яблочный сок (свежевыжатый, 250ml)","",2000
"Апельсиновый сок (свежевыжатый, 250ml)","",2000
"Ice Cherry","",1850

"Дополнительно","", 
"Также можем приготовить любой напиток на кокосовом молоке","", 
