name,description,price
"Филе цыпленка шпигованное","Со шпинатом в сливочном соусе",3500
"Утиное филе с финиками","С соусом маракуйя",3500
"Чикен Цюрих","С грибами и картофельным пюре",3200
"Филе форели","С соусом из мидий",5900
"Филе сибаса с овощами","",5900
"Норвежский лосось","С пюре из сельдерея",6100
"Фирменный бургер Zillion","С котлетой из мраморной говядины",3400
"Бургер с хрустящим цыпленком","С шампиньонами",2800
"Бургер с креветками","",4700
"Говяжье томленое ребро","С тыквенным пюре",5100
"Томленное Оссобуко","С сырной ризотто",4200
"Телятина с грибами","В соусе демиглас",4500
