name,description,price
"Сайта Ма (авторский ролл)","Лосось, сыр креметте, томаты, огурцы, ореховый соус, салат чукка",3500
"Филадельфия Хот (авторский ролл)","Жареный лосось, опаленный лосось, сыр креметте, огурцы, соус унаги",3500
"Филадельфия","Нори, сыр креметте, авокадо, лосось",1600
"Филадельфия с чука салатом и красной икрой","Сыр креметте, авокадо, лосось, чука салат, красная икра",1600
"Ролл с лососем и сыром Чеддер","Нори, сыр креметте, авокадо, лосось, слайсы чеддера",3500
"Унаги с кешью","Сыр креметте, нори, лист салата, огурец, слайсы угря, кешью, соус унаги, кунжут",3500
"Поцелуй Гейши","Сыр креметте, авокадо, лосось, нори, икра масаго",3500
"Калифорния","Крабовый микс, огурец, икра масаго",3500
"Ролл с креветкой","Нори, сыр креметте, авокадо, отварная креветка, икра масаго",3500
"Аригато","Нори, спайси лосось, жареная темпура, икра масаго, огурец, зеленый лук, острый соус кимчи",3500
"Запеченный с угрём","Нори, угорь, огурец, сыр креметте, пармезан, соус унаги, кунжут",3500
"Сяке Темпура","Сыр креметте, жареный лосось, зеленый лук, нори, соус унаги, кунжут",3500
"Филадельфия Темпура Маки","Лосось, сыр креметте, нори, огурцы, темпура",3500
"Эбиойши","Креветки, банан, сыр креметте, огурец",3500
"Темпура Унаги Маки","Угорь, сыр креметте, огурцы, кляр темпура",3500
"Токио Маки","Угорь, лосось, сыр креметте, огурцы, кляр темпура",3500
"Сет роллов Zillion","",9100
"Сет роллов Филадельфия","",3500
"Чукка салат","Классический с соусом, кунжутом, лимоном и ореховым соусом",1600
